,comments,down,favs,hl,mall,neat_title,pid,tag,up,NPS
214,3,0,4,9.8元包邮（需用券）,聚划算,固特威 汽车轮毂喷膜（可撕）,8049658,NULL,0,
215,0,0,1,47.8元包邮（需用券）,天猫精选,CHIEF 车仆 水晶黑蜡,8033299,NULL,0,
216,0,1,1,48元包邮（需用券）,天猫精选,香百年 汽车香水,8025193,NULL,0,-100.0
217,23,2,2,1460元购车礼包、厂商礼包、2年0利率,易车,CHERY 奇瑞 艾瑞泽5 线上专享购车补贴,8007861,购车必看,27,86.20689655172413
218,0,0,0,99元,天猫精选,上汽大众 辉昂 整车新车订金优惠礼包上海大众汽车定金,8025046,NULL,2,100.0
219,2,5,9,最高享1.2万置换补贴、1200元现金优惠、1460元购车礼包、12900元金融礼包,易车,上汽大众 2016款 途安L 线上专享优惠,8007836,购车必看,9,28.57142857142857
220,57,7,4,1460元购车礼包、免购置税、置换礼包、2年0利率,易车,VOLVO 沃尔沃 XC90 线上专享优惠,8007809,购车必看,104,87.38738738738738
221,11,12,65,最高享万元优惠、半价车,易车,11.11易车购车狂欢节薅羊毛指南,8006179,购车必看,6,-33.33333333333333
222,4,1,0,49元包邮（需用券）,天猫精选,龟牌车蜡汽车蜡养护蜡上光去污防护腊抛光蜡划痕修复打蜡车用正品,8012483,NULL,0,-100.0
223,40,9,12,1460元购车礼包、2年0利率金融礼包，最低首付1.6万,易车,GEELY 吉利 帝豪GS 线上专享优惠,8005442,购车必看,33,57.14285714285714
224,20,23,0,1460元购车礼包,易车,BMW 宝马 1系 线上专享优惠,8005319,购车必看,8,-48.38709677419355
225,5,8,4,1460元购车礼包,易车,一汽大众 高尔夫 嘉旅 线上专享优惠,8005234,购车必看,10,11.11111111111111
226,13,10,1,1460元购车礼包,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7986160,购车必看,24,41.17647058823529
227,8,30,10,1460元购车礼包,易车,BMW 宝马 X1 线上专享优惠,7986126,购车必看,5,-71.42857142857143
228,0,0,2,28.8元包邮（需用券）,天猫精选,车仆 汽车防雾剂+汽车玻璃水,7999266,NULL,0,
229,12,7,6,1460元购车礼包,易车,一汽大众 高尔夫 线上专享补贴,7986093,购车必看,11,22.22222222222222
230,18,8,4,1460元购车礼包,易车,GEELY 吉利博越 线上专享优惠,7986049,购车必看,19,40.74074074074074
231,50,5,13,50%购置税补贴、3年0利率,易车,VOLVO 沃尔沃 S90 线上专享优惠,7986014,购车必看,39,77.27272727272727
232,14,6,5,1460元购车礼包,易车,一汽大众 迈腾 线上专享优惠,7985918,购车必看,20,53.84615384615385
233,2,0,2,38元（需用券）,天猫精选,固特威燃油宝8瓶装800ML,7987965,NULL,1,100.0
234,21,6,3,1460元购车礼包,易车,BMW 宝马 3系 线上专享优惠,7983049,购车必看,25,61.29032258064516
235,18,20,2,1460元购车礼包,易车,一汽大众 新速腾 线上专享优惠,7982509,购车必看,16,-11.11111111111111
236,16,23,4,1460元购车礼包、1500元安全座椅优惠券、14300元金融礼包,易车,上汽大众 途观L 线上专享补贴,7977761,购车必看,22,-2.2222222222222223
237,1,0,2,38元包邮（需用券）,天猫精选,solam 索浪 车载MP3播放器 汽车蓝牙接收器 车载充电器,7981241,NULL,0,
238,162,3,46,2017年9月 评论赢模拟飞行机会,天猫精选,MPV销量与价格优惠排行榜,7976353,车榜单,20,73.91304347826086
239,26,36,19,抽半价车购买资格,车享,别克英朗、雪佛兰科帕奇、别克威朗Health Plus定制版线上专享优惠,7975245,购车必看,6,-71.42857142857143
240,8,0,0,499抵1000 可享豪华大礼包,天猫精选,迈锐宝 购车订金,7971377,NULL,2,100.0
241,19,3,7,1460元购车礼包、千元车载礼包,易车,CHERY 奇瑞 瑞虎5X 线上专享优惠,7974939,购车必看,43,86.95652173913044
242,20,5,1,19999元定金,天猫精选,MASERATI 玛莎拉蒂 GranTurismo跑车系列 GT跑车,7967475,NULL,131,92.64705882352942
243,0,0,0,599元包邮（需用券）,天猫精选,GOOD YEAR 固特异 太阳能无线胎压监测系统,7967093,双11预售,0,
244,15,18,1,1460元购车礼包、18期0利率金融方案,易车,GEELY 吉利 博瑞 线上专享优惠,7974803,购车必看,25,16.27906976744186
245,16,3,3,1460元购车礼包、免购置税、3年0利率、置换补贴、保险补贴,易车,VOLVO 沃尔沃 S60L 线上专享优惠,7963236,购车必看,28,80.64516129032258
246,0,0,1,38元（需用券）,天猫精选,车仆 镀膜蜡 去污上光防护蜡 260g,7968572,NULL,0,
247,334,15,228,,什么值得买,四款省油紧凑型车推荐,7968484,百公里油耗不足7升,77,67.3913043478261
248,2,4,2,1849元（100元定金，双11付尾款）,聚划算,强生 TiN陶瓷汽车膜 全车膜,7968285,双11预售,0,-100.0
249,678,10,432,2017年9月 评论赢模拟飞行机会,天猫精选,SUV销量与价格优惠排行,7962274,车榜单,118,84.375
250,35,33,8,1元,天猫精选,全新BMW 1系运动轿车 驾享体验券,7963176,NULL,26,-11.864406779661017
251,14,7,2,1460元购车礼包,易车,一汽大众 蔚领 线上补贴4S店使用,7961346,购车必看,11,22.22222222222222
252,37,21,15,35100元,有赞,Porsche 保时捷 凌驾风雪 运动驾驶体验,7961501,冰雪极速,116,69.34306569343066
253,133,141,89,3-13万，6款好价二手车推荐,人人车,人人车200元服务费抵扣券,7953741,购车必看,16,-79.61783439490446
254,13,7,7,1460元购车礼包、免购置税、万元置换礼包、2年0利率金融礼包、首年车险补贴,易车,沃尔沃 XC60 线上专享补贴,7961328,购车必看,26,57.57575757575758
255,5,4,0,888元,天猫精选,Mobil美孚1号FS X2 5W-40 4L*2美孚一号全合成汽车机油,7961862,NULL,0,-100.0
256,44,19,4,最高享7.5万元优惠、1460元购车礼包、辉昂探秘之旅,易车,上汽大众 PHIDEON 辉昂 线上专享优惠,7960979,购车必看,29,20.833333333333336
257,9,14,1,888元,天猫精选,官方店正品Mobil美孚1号 5W-30 4L*2 美孚一号全合成机油,7957852,NULL,1,-86.66666666666667
258,458,8,170,2017年9月 评论赢模拟飞行机会,什么值得买,轿车销量与价格优惠排行,7901038,车榜单,63,77.46478873239437
259,29,9,7,最高享10000元购置税补贴、2年0利率金融方案,易车,CITROEN 雪铁龙 C5 AIRCROSS 线上专享优惠,7953033,购车必看,26,48.57142857142857
260,4,2,5,1460元购车礼包,易车,一汽大众 高尔夫 嘉旅 线上专享优惠,7952953,购车必看,14,75.0
261,35,1,4,1460元购车礼包、厂商礼包、2年0利率,易车,CHERY 奇瑞 艾瑞泽5 线上专享购车补贴,7952244,购车必看,52,96.22641509433963
262,44,8,7,1460元购车礼包、18期0利率金融方案,易车,GEELY 吉利 博瑞 线上专享优惠,7946997,购车必看,49,71.9298245614035
263,13,46,1,1460元购车礼包,易车,BMW 宝马 1系 线上专享优惠,7946585,购车必看,7,-73.58490566037736
264,112,7,27,预约试驾抽车模,什么值得买,Cadillac 凯迪拉克 XT5 中型SUV,7941777,购车必看,112,88.23529411764706
265,23,8,14,最高享1.2万置换补贴、1200元现金优惠、1460元购车礼包、12900元金融礼包,易车,上汽大众 2016款 途安L 线上专享优惠,7946327,购车必看,8,0.0
266,24,5,2,1460元购车礼包,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7940700,购车必看,22,62.96296296296296
267,27,21,7,1460元购车礼包,易车,一汽大众 迈腾 线上专享优惠,7940669,购车必看,11,-31.25
268,56,9,6,1460元购车礼包,易车,GEELY 吉利博越 线上专享优惠,7940615,购车必看,59,73.52941176470588
269,39,12,13,1460元购车礼包,易车,BMW 宝马 3系 线上专享优惠,7940379,购车必看,31,44.18604651162791
270,0,0,0,949元,聚划算,gb好孩子汽车儿童安全座椅0-4-7岁婴儿宝宝新生儿安全坐车载CS558,7941220,NULL,0,
271,190,57,86,11.09万-14.69万,天猫精选,BUICK 别克 阅朗 旅行车,7935754,新车上市,151,45.19230769230769
272,636,126,174,14.49万-16.69万,天猫精选,BUICK 别克 GL6 MPV,7833667,新车上市,487,58.890701468189235
273,63,54,5,1460元购车礼包,易车,一汽大众 新速腾 线上专享优惠,7934492,购车必看,16,-54.285714285714285
274,21,19,3,1460元购车礼包,易车,BMW 宝马 X1 线上专享优惠,7934292,购车必看,17,-5.555555555555555
275,62,5,18,50%购置税补贴、10000元保险补贴、36期0利率、1460元购车礼包,易车,VOLVO 沃尔沃 S90 线上专享优惠,7934089,购车必看,87,89.13043478260869
276,34,12,8,1460元购车礼包,易车,一汽大众 高尔夫 线上专享补贴,7931841,购车必看,20,25.0
277,0,2,3,17.9元包邮（需用券）,天猫精选,车仆 玻璃拨水剂雨敌汽车挡风玻璃防水剂防雨剂驱水剂,7934412,NULL,1,-33.33333333333333
278,256,121,118,40至50万高性能车选购指南,什么值得买,扮猪吃老虎,7931036,钢炮对决,60,-33.70165745856354
279,304,22,173,科技范儿路虎惨遭冷落,什么值得买,比亚迪MPV稳坐冠军，宝骏510自动挡上市,7919675,9月新车值不值,161,75.95628415300546
280,7,2,0,88元（需用券）,天猫精选,Great Wall长城  金吉星J700U SN/CF 5W-40 全合成润滑油 1L装,7928031,NULL,0,-100.0
281,46,9,13,1460元购车礼包、免购置税、3年0利率、置换补贴、保险补贴,易车,VOLVO 沃尔沃 S60L 线上专享优惠,7922894,购车必看,40,63.26530612244898
282,44,40,16,1460元购车礼包、1500元安全座椅优惠券、16600元金融礼包,易车,上汽大众 途昂 中大型SUV 线上专享优惠,7922836,购车必看,32,-11.11111111111111
283,62,17,23,1460元购车礼包、500元油卡,易车,BYD 比亚迪 宋MAX 线上专享优惠,7922807,购车必看,114,74.04580152671755
284,19,9,12,1460元购车礼包,易车,一汽大众 高尔夫 嘉旅 线上专享优惠,7922755,购车必看,23,43.75
285,27,28,6,1460元购车礼包、1500元安全座椅优惠券、14300元金融礼包,易车,上汽大众 途观L 线上专享补贴,7918366,购车必看,22,-12.0
286,15,3,5,1460元购车礼包、厂商礼包、2年0利率,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7894022,购车必看,21,75.0
287,76,10,22,最高享10000元购置税补贴、2年0利率金融方案,易车,CITROEN 雪铁龙 C5 AIRCROSS 线上专享优惠,7913389,购车必看,79,77.52808988764045
288,58,8,20,2000元购车礼包、2000元保险补贴、6000元置换补贴,车享,雪佛兰 探界者 线上专享优惠,7912784,购车必看,32,60.0
289,148,4,28,2000元购车礼包、3000元保险补贴、6000元置换补贴,车享,雪佛兰 迈锐宝XL 线上专享优惠,7912652,购车必看,71,89.33333333333333
290,21,16,13,最高享1.2万置换补贴、1200元现金优惠、1460元购车礼包、12900元金融礼包,易车,上汽大众 2016款 途安L 线上专享优惠,7912578,购车必看,25,21.951219512195124
291,3,0,3,28元（需用券）,天猫精选,卡尔路驰雨敌驱水剂防雨剂汽车玻璃拨水剂后视镜除水剂玻璃镀膜,7901178,NULL,2,100.0
292,18,0,2,19元（需用券）,天猫精选,车仆玻璃防雾剂 3瓶装,7899295,NULL,2,100.0
293,50,16,13,1460元购车礼包、免购置税、万元置换礼包、2年0利率金融礼包、首年车险补贴,易车,沃尔沃 XC60 线上专享补贴,7898288,购车必看,68,61.904761904761905
294,405,78,68,1460000元起,天猫精选,2017款 玛莎拉蒂 Quattroporte 总裁轿车,7894062,稀世良驹,2161,93.03260384100045
295,51,14,12,1460元购车礼包、2年0利率金融礼包、车载千元礼包,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7894047,购车必看,62,63.1578947368421
296,91,22,34,50%购置税补贴、10000元保险补贴、36期0利率、1460元购车礼包,易车,VOLVO 沃尔沃 S90 线上专享优惠,7891756,购车必看,119,68.79432624113475
297,92,14,27,1460元购车礼包、免购置税、置换礼包、2年0利率,易车,VOLVO 沃尔沃 XC90 线上专享优惠,7884567,购车必看,127,80.1418439716312
298,4,0,5,599元,天猫精选,天猫双11预售：GOOD YEAR 固特异 太阳能无线胎压监测系统,7881718,NULL,0,
299,169,49,58,330800元起,天猫精选,阿尔法·罗密欧 Giulia 豪华运动轿车,7881491,个性之选,297,71.67630057803468
300,99,23,48,1460元购车礼包、500元油卡,易车,BYD 比亚迪 宋MAX 线上专享优惠,7878531,购车必看,184,77.77777777777779
301,65,54,13,1460元购车礼包,易车,上汽大众 途观L 线上专享补贴,7878521,购车必看,22,-42.10526315789473
302,0,0,2,98元（需用券）,聚划算,固特威燃油宝除积碳提动力汽油添加剂3万公里油嘴油路清洗剂8支装,7875214,NULL,0,
303,116,33,25,798000元起（1000元订金）,天猫精选,JAGUAR 捷豹 F-TYPE 整车订金+金融方案,7874487,驭风而行,267,78.0
304,2,2,4,59元包邮（需用券）,天猫精选,沿途 车载吸尘器无线 汽车强力大功率充气泵,7873783,NULL,2,0.0
305,3,4,1,472元包邮（需用券）,天猫精选,米其林正品汽车轮胎 195/65R15 91V PRIMACY 3 ST 浩悦 包安装,7873042,NULL,0,-100.0
306,42,35,7,无门槛抽取半价车、2000元购车礼包、车享购车礼包,车享,CHEVROLET 雪佛兰 科帕奇 线上专享优惠,7870715,NULL,17,-34.61538461538461
307,89,11,72,除了刷手机，发愣你还可以这样,天猫精选,堵车解闷新选择,7867452,奇葩物,89,78.0
308,88,6,30,1460元购车礼包、1-5年低利率金融礼包、置换补贴、专用行李架,易车,VOLVO 沃尔沃 V90 Cross Country 线上专享优惠,7870655,旅行自驾新选择,141,91.83673469387756
309,42,14,5,1460元购车礼包、18期0利率金融方案,易车,GEELY 吉利 博瑞 线上专享优惠,7867395,购车必看,66,65.0
310,51,9,25,50%购置税补贴、1460元购车礼包、20%首付1年0利率,易车,VOLVO 沃尔沃 V40 线上专享优惠,7866184,购车必看,34,58.139534883720934
311,96,16,33,7.99万-11.09万元,天猫精选,瑞虎5X 紧凑型5座SUV,7861449,新车上市,175,83.24607329842932
312,18,19,11,1460元购车礼包,易车,一汽大众 高尔夫 嘉旅 线上专享优惠,7861352,购车必看,32,25.49019607843137
313,42,17,5,最高享购置税减25%，8000置换补贴、2年0利率,易车,SKODA 斯柯达 速派 线上专享优惠,7861309,购车必看,32,30.612244897959183
314,183,23,58,2年0利率（5成首付）、1年0利率（2成首付）、置换补贴、1460元购车礼包,易车,VOLVO 沃尔沃 V60 线上专享优惠,7861269,购车必看,79,54.90196078431373
315,15,3,72,汽车用品选购指南,什么值得买,自驾出游带些啥？,7854866,国庆自驾游,15,66.66666666666666
316,74,6,27,50%购置税补贴、10000元保险补贴、36期0利率、1460元购车礼包,易车,VOLVO 沃尔沃 S90 线上专享优惠,7854513,购车必看,113,89.91596638655463
317,51,54,12,1460元购车礼包、1500元安全座椅优惠券、16600元金融礼包,易车,上汽大众 途昂 中大型SUV 线上专享优惠,7854218,购车必看,38,-17.391304347826086
318,1,1,0,79元,天猫精选,3M 车蜡 水晶蜡养护腊,7849461,NULL,0,-100.0
319,71,11,10,2000元购车礼包、原厂行车记录仪、6000元置换补贴,车享,雪佛兰 迈锐宝XL 线上专享优惠,7848070,购车必看,42,58.490566037735846
320,596,61,260,7.99-11.99万元,天猫精选,比亚迪宋MAX 7座MPV,7846334,新车上市,900,87.30489073881374
321,36,4,14,300元车享网购车礼包,车享,Cadillac 凯迪拉克 ATS-L 线上专享优惠,7848011,购车必看,34,78.94736842105263
322,1073,108,959,选购指南,什么值得买,全能选手 20-25万6款实用型SUV,7838077,购车必看,108,0.0
323,13,10,3,1460元购车礼包、首付低至18980元，日供80元起，2年0利率,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7842578,购车必看,23,39.39393939393939
324,52,7,17,无门槛抽取半价车、2000元购车礼包、车享购车礼包,车享,CHEVROLET 雪佛兰 科帕奇 线上专享优惠,7842876,NULL,8,6.666666666666667
325,10,12,6,1460元购车礼包,易车,一汽大众 高尔夫 线上专享补贴,7842493,购车必看,21,27.27272727272727
326,48,12,15,1460元购车礼包,易车,BMW 宝马 3系 线上专享优惠,7838386,购车必看,54,63.63636363636363
327,32,12,19,1460元购车礼包,易车,GEELY 吉利博越 线上专享优惠,7838368,购车必看,83,74.73684210526315
328,64,43,8,1460元购车礼包,易车,上汽大众 途观L 线上专享补贴,7838358,购车必看,24,-28.35820895522388
329,349,61,99,2198000元起（最高享75万优惠）,天猫精选,玛莎拉蒂 GranTurismo跑车系列 GT跑车,7836066,买声浪送跑车,2554,95.33460803059273
330,110,17,10,1460元购车礼包、18期0利率金融方案,易车,GEELY 吉利汽车 博瑞 线上专享优惠,7835743,购车必看,81,65.3061224489796
331,56,7,16,1460元购车礼包、首付低至12380元起,易车,CHERY 奇瑞 艾瑞泽5 线上专享购车补贴,7835703,购车必看,75,82.92682926829268
332,34,13,11,1460元购车礼包,易车,一汽大众 高尔夫 嘉旅 线上专享优惠,7835493,购车必看,29,38.095238095238095
333,0,1,0,218元,聚划算,长城 金吉星  汽车机油J700U SN/CF 5W-40 全合成机油,7835612,NULL,0,-100.0
334,91,63,25,1460元购车礼包、1000元油卡、4.1万首付月供888元起,易车,BMW 宝马 1系 线上专享优惠,7832253,购车必看,25,-43.18181818181818
335,11,30,3,1460元购车礼包,易车,一汽大众 新速腾 线上专享优惠,7831655,购车必看,10,-50.0
336,7,10,2,1460元购车礼包,易车,BMW 宝马 X1 线上专享优惠,7831517,购车必看,4,-42.857142857142854
337,19,22,8,  最高享1.2万置换补贴、1200元现金优惠、1460元购车礼包、12900元金融礼包,易车,上汽大众 2016款 途安L 线上专享优惠,7831477,购车必看,14,-22.22222222222222
338,109,3,53,2017年8月,什么值得买,MPV销量与价格优惠排行榜,7825215,车榜单,59,90.32258064516128
339,74,68,7,10.69-15.99万,天猫精选,众泰大迈X7上进版 中型SUV,7825538,新车上市,72,2.857142857142857
340,8,2,4,39元,天猫精选,小米 车载充电器 双USB,7823634,NULL,2,0.0
341,10,2,9,1460元购车礼包、400元现金红包、50元话费、1000元现金红包、直降730元,易车,宝骏 730 线上专享购车补贴,7817688,购车必看,40,90.47619047619048
342,395,10,156,2017年8月,什么值得买,SUV销量与价格优惠排行榜,7817332,车榜单,121,84.7328244274809
343,65,15,19,50%购置税补贴、10000元保险补贴、36期0利率、1460元购车礼包,易车,VOLVO 沃尔沃 S90 线上专享优惠,7817589,购车必看,157,82.55813953488372
344,45,3,10,1460元购车礼包、直降510元、50元话费、18期0利率,易车,宝骏 510 线上专享优惠,7817625,购车必看,53,89.28571428571429
345,7,2,2,1460元购车礼包、2年0利率金融礼包，最低首付1.8万起,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7817533,购车必看,29,87.09677419354838
346,512,5,218,2017年8月 ,什么值得买,轿车销量与价格优惠排行,7810837,车榜单,131,92.64705882352942
347,53,13,10,最高享购置税减25%，8000置换补贴、2年0利率,易车,SKODA 斯柯达 速派 线上专享优惠,7817032,购车必看,38,49.01960784313725
348,33,23,4,1460元购车礼包,易车,上汽大众 途观L 线上专享补贴,7816921,购车必看,19,-9.523809523809524
349,31,14,8,1460元购车礼包,易车,一汽大众 高尔夫 嘉旅 线上专享优惠,7810479,购车必看,35,42.857142857142854
350,39,18,5,1460元购车礼包,易车,GEELY 吉利博越 线上专享优惠,7810418,购车必看,33,29.411764705882355
351,34,5,6,1460元购车礼包、免购置税、3年0利率、置换补贴、保险补贴,易车,VOLVO 沃尔沃 S60L 线上专享优惠,7807862,购车必看,16,52.38095238095239
352,28,9,4,1460元购车礼包,易车,BMW 宝马 3系 线上专享优惠,7801707,购车必看,14,21.73913043478261
353,73,14,23,2年0利率（5成首付）、1年0利率（2成首付）、置换补贴、1460元购车礼包,易车,VOLVO 沃尔沃 V60 线上专享优惠,7804613,购车必看,50,56.25
354,59,54,19,1460元购车礼包、14300元金融礼包、1500元安全座椅优惠券,易车,上汽大众 途观L 线上专享补贴,7804592,购车必看,51,-2.857142857142857
355,401,20,217,30万左右豪华轿车选购指南,什么值得买,豪华、颜值、操控一个都不能少,7801719,购车必看,81,60.396039603960396
356,27,26,4,1460元购车礼包,易车,BMW 宝马 X1 线上专享优惠,7804576,购车必看,12,-36.84210526315789
357,44,3,13,1460元购车礼包、400元现金红包、送交强险、50元话费、18期0利率,易车,宝骏 310 wagon,7804552,购车必看,83,93.02325581395348
358,28,11,11,500现金+1000油卡,易车,一汽丰田威驰 线上专享补贴,7801813,购车必看,17,21.428571428571427
359,29,11,7,600元现金补贴+1000元油卡,易车,一汽丰田RAV4荣放,7801725,购车必看,22,33.33333333333333
360,30,8,15,600元现金+1000元油卡,易车,一汽丰田全新卡罗拉线上补贴,7801482,购车必看,36,63.63636363636363
361,310,61,112,15.27万-22.67万,什么值得买,雪铁龙 C5 AIRCROSS 天逸 全新紧凑级SUV,7800063,新车上市,329,68.71794871794872
362,63,14,29,600元车款抵扣+1000元油卡补贴,易车,一汽丰田多款车型线上补贴,7801441,2017.9.16更新,71,67.05882352941175
363,48,14,25,600元车款抵扣+1000元油卡补贴,易车,一汽丰田全系 线上补贴专场,7798705,购车必看、优惠预告,36,44.0
364,22,30,4,1460元购车礼包,易车,一汽大众 新速腾 线上专享优惠,7797610,购车必看,13,-39.53488372093023
365,33,6,8,1460元购车礼包、2年0利率金融礼包，最低首付1.6万,易车,GEELY 吉利 帝豪GS 线上专享优惠,7797558,购车必看,38,72.72727272727273
366,73,5,15,1460元购车礼包、1-5年低利率金融礼包、置换补贴,易车,VOLVO 沃尔沃 V90 Cross Country 线上专享优惠,7797124,旅行自驾新选择,81,88.37209302325581
367,22,9,7,1460元购车礼包、18期0利率金融方案,易车,GEELY 吉利汽车 博瑞 线上专享优惠,7794522,购车必看,45,66.66666666666666
368,15,10,5,1460元购车礼包、2年0利率金融礼包，最低首付1.8万起,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7794308,购车必看,43,62.264150943396224
369,69,9,15,50%购置税补贴、1460元购车礼包、20%首付1年0利率,易车,VOLVO 沃尔沃 V40 线上专享优惠,7793731,购车必看,50,69.49152542372882
370,20,35,5,1460元购车礼包、1.2万元金融礼包、5000元保险补贴、1.5万现金优惠、限牌补贴,易车,上汽大众 全新帕萨特 线上专享优惠,7790017,购车必看,12,-48.93617021276596
371,11,28,3,1460元购车礼包,易车,一汽大众 迈腾 线上专享优惠,7784979,购车必看,24,-7.6923076923076925
372,34,10,6,1460元购车礼包,易车,一汽大众 高尔夫 线上专享补贴,7787078,购车必看,22,37.5
373,56,40,13,1200元现金优惠、1460元购车礼包、8200元金融礼包、1500元安全座椅券,易车,上汽大众 Polo GTI GP 线上专享补贴,7787221,购车必看,8,-66.66666666666666
374,14,2,9,线上支付订金，赢5000元购车补贴,易车,TOYOTA 丰田 卡罗拉 线上专享优惠,7783615,购车必看,19,80.95238095238095
375,48,59,4,最高享7.5万元优惠、1460元购车礼包、辉昂探秘之旅,易车,上汽大众 PHIDEON 辉昂 线上专享优惠,7782333,购车必看,38,-21.649484536082475
376,21,7,9,1460元购车礼包、免购置税、万元置换礼包、2年0利率金融礼包、首年车险补贴,易车,沃尔沃 XC60 线上专享补贴,7782233,购车必看,29,61.111111111111114
377,49,21,7,1460元购车礼包,易车,BMW 宝马 3系 线上专享优惠,7781745,购车必看,27,12.5
378,18,11,7,1460元购车礼包,易车,BMW 宝马 X1 线上专享优惠,7777758,购车必看,11,0.0
379,71,18,47,6.88-8.98万,什么值得买,宝骏510自动挡车型上市,7778285,新车上市,150,78.57142857142857
380,10,6,6,1460元购车礼包,易车, 一汽大众 高尔夫 嘉旅 线上专享优惠,7777658,购车必看,11,29.411764705882355
381,29,9,13,1460元购车礼包,易车,GEELY 吉利博越 线上专享优惠,7775797,购车必看,41,64.0
382,249,43,175,20万元内真假旅行车导购,什么值得买,既要操控又要空间！,7771030,购车必看,45,2.272727272727273
383,52,11,29,1460元购车礼包、直降510元、50元话费、18期0利率,易车,宝骏 510 线上专享优惠,7773770,购车必看,55,66.66666666666666
384,32,30,7,1460元购车礼包,易车,一汽大众 新速腾 线上专享优惠,7770447,购车必看,9,-53.84615384615385
385,80,24,22,4000元置换补贴、2年0利率、减免25%购置税,易车,上汽大众斯柯达 2017款 明锐 线上专享优惠,7770560,购车必看,35,18.64406779661017
386,39,97,16,3年使用权、到店礼、1000元油卡、1460元购车礼包、线上抽奖,易车,Luxgen 纳智捷 U5 小型SUV,7770200,购车必看,20,-65.8119658119658
387,0,0,2,306元,天猫精选,瓦尔塔蓄电池蓝38B19L锋范1.5理念思迪飞度北斗星爱迪尔汽车电瓶,7770008,NULL,0,
388,2,1,4,315元,聚划算,瓦尔塔蓄电池蓝46B24L轩逸骊威骐达新阳光思域CRV奥德赛汽车电瓶,7768539,NULL,0,-100.0
389,0,3,1,1999元,聚划算,CYBEX 德国汽车用儿童安全座椅Pallas 2-fix  9个月-12岁 isofix,7768523,NULL,0,-100.0
390,109,36,34,7.98-15.58万元,什么值得买,福特新款翼博 小型SUV全新改款,7766386,新车上市,58,23.404255319148938
391,39,15,17,6.68-10.18万元,什么值得买,东风风神AX4 全新小型SUV,7765301,新车上市,66,62.96296296296296
392,29,7,6,1460元购车礼包,易车,一汽大众 高尔夫 线上专享补贴,7760359,购车必看,17,41.66666666666667
393,21,8,4,1460元购车礼包、2年0利率金融礼包，最低首付1.6万,易车,GEELY 吉利 帝豪GS 线上专享优惠,7763299,购车必看,12,20.0
394,10,6,5,1460元购车礼包、24期0利率金融方案,易车,CHERY 奇瑞 瑞虎7 线上专享补贴,7758874,购车必看,36,71.42857142857143
395,201,14,18,1460元购车礼包、18期0利率金融方案,易车,GEELY 吉利汽车 博瑞 线上专享优惠,7758649,购车必看,85,71.71717171717171
396,14,38,9,1460元购车礼包、14300元金融礼包、1500元安全座椅优惠券,易车,上汽大众 途观L 线上专享补贴,7758470,购车必看,30,-11.76470588235294
397,90,8,23,50%购置税补贴、10000元保险补贴、36期0利率、1460元购车礼包,易车,VOLVO 沃尔沃 S90 线上专享优惠,7758342,购车必看,127,88.14814814814815
398,479,86,55,6488888元,走秀网,Lamborghini 兰博基尼 Aventador Lp 700-4,7755731,高端秀,2761,93.95855286266244
399,46,59,11,1460元购车礼包,易车,一汽大众 迈腾 线上专享优惠,7756112,购车必看,28,-35.63218390804598
400,40,15,12,1460元购车礼包、免购置税、3年0利率、置换补贴、保险补贴,易车,VOLVO 沃尔沃 S60L 线上专享优惠,7753229,购车必看,38,43.39622641509434
401,108,14,45,710000元包邮包进口税（墨规版）,奥买家全球购,2017款 宝马X5 xDrive35i 典雅型 3.0T 墨规版,7750172,NULL,418,93.51851851851852
402,101,29,16,送定制套装、购车礼包、1460元购车礼包,易车,东风雪铁龙 天逸C5 AIRCROSS,7750137,新车预售,67,39.58333333333333
403,44,8,49,49元,美团网,车享家 节气门清洗服务,7750983,NULL,18,38.46153846153847
404,67,6,34,1460元购车礼包、400元现金红包、送交强险、50元话费、18期0利率,易车,宝骏 310 wagon,7748971,购车必看,162,92.85714285714286
405,40,12,8,1460元购车礼包、免购置税、万元置换礼包、2年0利率金融礼包、首年车险补贴,易车,沃尔沃 XC60 线上专享补贴,7744359,购车必看,14,7.6923076923076925
406,25,33,11,最高享1.2万置换补贴、1200元现金优惠、1460元购车礼包、12900元金融礼包,易车,上汽大众 途安L 线上专享优惠,7743722,购车必看,10,-53.48837209302325
407,72,19,14,1460元购车礼包,易车,BMW 宝马 3系 线上专享优惠,7743420,购车必看,40,35.59322033898305
408,24,13,7,1460元购车礼包,易车,GEELY 吉利博越 线上专享优惠,7743174,购车必看,41,51.85185185185185
409,1,0,3,78元,聚划算,铁将军胎压监测高精度汽车胎压计车用胎压表轮胎气压表监测器T181,7741092,NULL,0,
410,235,39,39,2538000起,天猫精选,奥迪 R8 V10 Coupe Performance,7738249,钢铁侠座驾,1412,94.62439696760855
411,146,309,23,68.8万-104.8万,什么值得买,Land Rover 路虎 星脉,7740190,新车上市,106,-48.91566265060241
412,576,23,298,20万左右中型车选购指南,什么值得买,颜值更重要,7738311,购车必看,98,61.98347107438017
